0.00000000000000000e+00 0.00000000000000000e+00
9.99999999999999778e-02 1.63417540834092274e-02
1.99999999999999956e-01 4.88326205399360544e-02
2.99999999999999933e-01 9.49926181810007153e-02
3.99999999999999911e-01 1.55689006902547361e-01
4.99999999999999889e-01 2.33907519528211622e-01
5.99999999999999867e-01 3.35877495028145956e-01
6.99999999999999845e-01 4.84427826749864066e-01
7.99999999999999822e-01 6.56872125865015533e-01
8.99999999999999800e-01 8.28646928469174204e-01
9.99999999999999778e-01 9.99899805697618826e-01
1.09999999999999964e+00 1.17115268292606345e+00
1.19999999999999973e+00 1.34292748553022201e+00
1.29999999999999982e+00 1.51537178464537359e+00
1.39999999999999969e+00 1.66392211636709186e+00
1.49999999999999956e+00 1.76589209186702645e+00
1.59999999999999964e+00 1.84411060449269071e+00
1.69999999999999973e+00 1.90480699321423730e+00
1.79999999999999960e+00 1.95096699085530223e+00
1.89999999999999947e+00 1.98345785731182911e+00
